year,age,country,source,reproduce
2003,11,fi,hunted,1
2003,8,fi,hunted,1
2003,7,fi,hunted,1
2003,6,fi,hunted,1
2003,3,fi,hunted,0
2003,7,fi,hunted,0
2003,20,fi,hunted,1
2003,8,fi,hunted,1
2003,9,fi,hunted,1
2003,11,fi,hunted,1
2003,6,fi,hunted,1
2003,5,fi,hunted,1
2003,7,fi,hunted,1
2003,6,fi,hunted,1
2003,12,fi,hunted,1
2003,6,fi,hunted,1
2003,19,fi,hunted,1
2003,12,fi,hunted,1
2003,14,fi,hunted,1
2003,4,fi,hunted,0
2003,6,fi,hunted,0
2003,6,fi,hunted,1
2003,12,fi,hunted,1
2003,4,fi,hunted,0
2003,7,fi,hunted,1
2003,10,fi,hunted,1
2003,19,fi,hunted,1
2003,7,fi,hunted,1
2003,18,fi,hunted,1
2003,10,fi,hunted,1
2003,14,fi,hunted,1
2003,14,fi,hunted,1
2003,3,fi,hunted,0
2003,11,fi,hunted,1
2003,11,fi,hunted,1
2003,9,fi,hunted,1
2003,11,fi,hunted,1
2003,12,fi,hunted,1
2003,21,fi,hunted,1
2003,18,fi,hunted,1
2004,4,fi,hunted,0
2004,13,fi,hunted,1
2004,13,fi,hunted,1
2004,14,fi,hunted,1
2004,7,fi,hunted,1
2004,16,fi,hunted,1
2004,4,fi,hunted,0
2004,8,fi,hunted,1
2004,13,fi,hunted,1
2004,15,fi,hunted,1
2004,16,fi,hunted,1
2004,6,fi,hunted,1
2004,13,fi,hunted,1
2004,4,fi,hunted,0
2004,20,fi,hunted,1
2004,15,fi,hunted,1
2004,7,fi,hunted,1
2004,8,fi,hunted,1
2004,18,fi,hunted,1
2004,18,fi,hunted,1
2004,13,fi,hunted,1
2004,13,fi,hunted,1
2004,19,fi,hunted,1
2004,4,fi,hunted,0
2004,13,fi,hunted,1
2004,9,fi,hunted,1
2004,3,fi,hunted,0
2004,9,fi,hunted,1
2004,9,fi,hunted,1
2004,6,fi,hunted,0
2004,16,fi,hunted,1
2004,10,fi,hunted,1
2004,5,fi,hunted,1
2004,10,fi,hunted,1
2004,20,fi,hunted,1
2004,15,fi,hunted,1
2004,22,fi,hunted,1
2004,8,fi,hunted,1
2004,9,fi,hunted,1
2004,11,fi,hunted,1
2004,8,fi,hunted,1
2004,9,fi,hunted,1
2004,3,fi,hunted,0
2004,16,fi,hunted,1
2004,16,fi,hunted,1
2004,20,fi,hunted,1
2004,17,fi,hunted,1
2004,7,fi,hunted,1
2004,16,fi,hunted,1
2004,17,fi,hunted,1
2004,7,fi,hunted,1
2004,12,fi,hunted,1
2004,8,fi,hunted,1
2004,15,fi,hunted,1
2004,14,fi,hunted,1
2004,11,fi,hunted,1
2004,7,fi,hunted,1
2004,17,fi,hunted,1
